M_G,G-RP,BP-RP
11.672,1.252,2.996
14.702,0.373,0.729
9.968,1.168,2.577
5.518,0.578,0.989
8.785,1.09,1.995
13.351,1.551,4.035
5.122,0.535,0.902
15.153,1.606,2.533
5.965,0.642,1.127
11.662,1.297,3.199
9.1,1.018,2.078
14.401,1.494,2.973
10.832,1.254,2.983
11.413,1.253,2.938
15.28,1.538,2.361
15.481,1.456,2.601
10.368,1.164,2.572
11.16,1.277,3.065
8.438,0.969,1.93
8.24,0.975,1.902
15.435,1.576,2.958
8.721,1.013,2.061
8.683,1.071,2.214
9.166,1.128,2.385
11.866,1.359,3.234
7.166,0.859,1.628
10.13,1.288,2.756
7.618,0.894,1.728
13.412,1.426,3.85
14.61,1.473,3.558
15.054,0.804,1.502
13.726,1.442,3.918
13.224,1.34,3.493
5.29,0.567,0.968
9.949,1.171,2.597
12.308,1.302,3.125
14.218,1.508,2.848
10.453,1.221,2.801
7.388,1.241,1.871
13.714,0.219,0.593
15.075,1.495,3.141
12.64,1.384,3.454
12.791,1.342,3.437
15.213,0.856,0.94
9.642,1.167,2.575
8.596,0.997,2.004
15.861,1.622,3.731
10.528,1.234,2.896
10.651,0.98,1.965
8.844,1.017,2.068
12.756,1.352,3.534
9.16,1.096,2.321
13.837,0.411,0.662
4.61,1.057,0.77
7.194,0.829,1.563
5.826,0.603,1.044
10.845,1.237,2.875
8.039,0.983,1.926
6.463,0.69,1.231
9.261,1.121,2.295
9.13,1.078,2.264
11.046,1.237,2.894
14.804,0.648,0.957
10.101,1.135,2.468
11.343,1.374,3.285
13.055,0.189,0.295
15.284,1.605,0.072
6.583,0.739,1.341
10.086,1.143,2.494
14.422,0.347,0.622
9.783,1.16,2.549
8.926,1.089,2.263
10.33,1.151,2.519
12.004,1.751,2.485
6.787,0.784,1.444
13.776,1.397,3.583
10.614,1.163,2.586
12.632,1.368,3.497
12.275,1.317,3.178
14.117,0.327,0.496
8.843,1.236,2.348
13.195,0.237,0.383
12.961,1.315,3.387
15.092,0.735,1.243
4.294,0.447,0.72
10.207,1.211,2.343
12.943,-0.048,-0.048
10.091,1.187,2.572
14.213,0.473,0.823
13.965,1.42,3.525
8.615,1.288,2.183
2.186,0.257,0.395
12.273,1.314,3.172
4.414,0.506,0.843
4.171,0.507,0.844
13.087,1.394,3.551
6.75,0.812,1.509
9.268,1.096,2.329
9.991,1.166,2.581
11.714,1.263,3.032
10.065,1.092,2.275
10.637,1.144,2.499
5.269,0.629,1.092
11.483,1.177,2.634
6.064,0.639,1.124
10.791,1.181,2.651
11.017,1.196,2.714
12.324,1.298,3.332
9.647,1.695,2.238
9.612,1.611,2.462
10.496,1.141,2.484
12.346,1.317,3.285
11.54,1.266,3.014
11.157,1.177,2.64
15.055,0.648,1.133
10.61,1.184,2.642
13.224,1.385,3.623
5.716,0.71,1.247
13.467,1.414,3.722
13.369,-0.054,-0.05
13.318,1.362,3.451
14.454,0.617,1.018
10.936,1.237,2.892
5.267,0.626,0.973
9.554,1.112,2.378
11.213,1.186,2.678
11.088,1.147,2.511
10.897,1.197,2.698
11.053,1.219,2.767
15.413,1.576,4.478
10.029,1.184,2.645
13.693,1.448,3.556
9.025,1.024,2.1
9.936,1.178,2.617
11.846,1.278,3.1
12.086,1.289,3.08
14.794,1.537,4.435
13.046,1.374,3.25
11.173,1.208,2.734
8.942,0.962,1.905
15.105,1.555,5.227
12.309,1.272,3.088
12.429,1.323,3.344
7.702,0.846,1.603
4.292,0.472,0.766
11.438,1.248,2.961
9.255,1.082,2.26
9.991,1.019,2.069
10.139,1.126,2.425
9.486,1.589,2.273
11.363,1.237,2.901
15.249,1.463,2.79
11.622,1.252,2.908
13.52,1.398,3.862
10.571,1.191,2.684
11.285,1.213,2.763
11.247,1.222,2.823
11.149,1.22,2.819
12.906,1.348,3.578
12.287,1.314,3.27
11.79,1.232,2.891
12.699,1.37,3.491
9.948,1.139,2.462
6.821,0.743,1.354
11.451,1.268,2.924
11.415,1.298,3.161
11.686,1.256,2.998
8.708,1.024,2.097
8.485,0.984,1.975
9.088,0.974,1.938
10.578,1.225,2.825
10.73,1.166,2.58
8.634,1.001,2.009
14.521,1.432,3.41
11.167,1.202,2.729
9.547,1.151,2.525
11.018,1.211,2.78
11.094,1.302,3.156
13.299,1.4,2.512
11.232,1.243,2.881
14.986,1.492,3.038
12.043,1.301,3.186
9.597,1.102,2.335
12.697,1.304,3.256
10.202,1.111,2.376
13.65,1.421,3.828
16.375,1.784,1.852
11.733,1.259,3.01
13.727,1.417,3.244
10.87,1.15,2.517
15.215,1.632,2.599
6.108,0.632,1.1
10.466,1.109,2.358
13.201,1.399,3.618
12.231,1.29,3.09
9.588,1.578,2.432
14.85,0.56,1.022
8.376,1.01,2.048
8.535,1.025,2.091
10.354,1.167,2.592
12.87,1.34,3.461
14.557,0.529,0.924
13.879,1.446,4.023
4.313,0.467,0.764
15.95,1.696,4.021
10.095,1.129,2.439
11.834,1.268,2.995
12.417,1.271,3.119
6.819,0.752,1.372
11.454,1.246,2.911
13,1.318,3.406
11.18,1.289,3.135
10.28,1.226,2.838
12.694,1.327,3.292
11.454,1.241,2.902
11.014,1.237,2.893
10.908,1.23,2.92
11.452,1.251,2.984
9.638,1.171,2.574
12.938,1.35,3.343
9.333,1.121,2.411
9.156,1.105,2.351
11.748,1.262,3.021
12.886,1.365,3.422
11.762,1.207,2.766
8.927,0.992,1.994
13.094,1.38,3.446
8.114,0.96,1.907
13.337,1.418,3.771
11.399,1.242,2.798
7.015,0.783,1.45
10.516,1.155,2.547
12.439,1.355,3.444
7.188,0.808,1.508
11.503,1.245,2.917
14.356,0.574,1.04
14.922,0.711,1.217
10.897,1.227,2.833
11.982,1.282,3.058
10.523,1.275,2.82
10.962,1.202,2.686
13.362,1.367,3.798
11.942,1.192,2.71
9.621,1.279,2.629
9.711,1.173,2.557
11.001,1.199,2.717
13.818,1.412,3.695
14.631,1.511,3.953
6.234,0.689,1.222
13.187,1.353,3.542
2.525,0.274,0.417
7.637,0.916,1.786
6.917,1.492,1.46
6.941,1.507,1.461
9.518,1.127,2.426
11.867,1.277,3.092
9.659,1.683,2.313
10.525,1.169,2.585
11.732,1.243,2.955
12.518,1.272,3.076
14.057,1.473,4.134
11.481,1.248,2.916
9.155,0.905,1.715
14.975,1.421,2.992
15.451,1.55,4.674
