SpT,Teff,logT,logL,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,g-r,i-z,z-Y,R_Rsun,Msun
O3V,44900,4.652,5.820,-9.810,-4.010,-5.800,-0.330,,,,,,,-1.175,,,,,,,,,,,,,,,13.430,
O4V,42900,4.632,5.650,-9.390,-3.890,-5.500,-0.326,,,,,,,-1.160,,,,,,,,,,,,,,,12.130,
O5V,41400,4.617,5.540,-9.110,-3.760,-5.350,-0.323,,,,,,-0.133,-1.150,,,,,,,,,,,,-0.620,,,11.450,
O5.5V,40500,4.607,5.440,-8.870,-3.670,-5.200,-0.322,,,,,,-0.133,-1.145,,,,,,,,,,,,-0.620,,,10.710,
O6V,39500,4.597,5.360,-8.670,-3.570,-5.100,-0.321,,,,,,-0.132,-1.140,,,,,,,,,,,,-0.620,,,10.270,
O6.5V,38300,4.583,5.270,-8.440,-3.490,-4.950,-0.319,,,,,,-0.131,-1.135,,,,,,,,,,,,-0.620,,,9.820,
O7V,37100,4.569,5.180,-8.210,-3.410,-4.800,-0.318,,,,,,-0.130,-1.130,,,,,,,,,,,,-0.620,,,9.420,27.000
O7.5V,36100,4.558,5.090,-7.980,-3.330,-4.650,-0.317,,,,,,-0.130,-1.125,,,,,,,,,,,,-0.620,,,8.950,25.000
O8V,35100,4.545,4.990,-7.740,-3.240,-4.500,-0.315,,,,,,-0.129,-1.120,,,,,,,,,,,,-0.620,,,8.470,23.000
O8.5V,34300,4.535,4.910,-7.530,-3.180,-4.350,-0.314,,,,,,-0.128,-1.115,,,,,,,,,,,,-0.620,,,8.060,21.300
O9V,33300,4.522,4.820,-7.310,-3.110,-4.200,-0.312,,,,,,-0.127,-1.110,,-0.369,-1.000,-0.164,-0.071,,,,,-3.440,-3.200,-0.620,,,7.720,19.800
O9.5V,31900,4.504,4.720,-7.060,-3.010,-4.050,-0.307,,,,,,-0.125,-1.090,,-0.361,-0.977,-0.161,-0.069,,,,,-3.300,-3.073,-0.605,,,7.500,18.500
B0V,31400,4.497,4.650,-6.890,-2.990,-3.900,-0.301,,,,,,-0.122,-1.070,,-0.355,-0.958,-0.159,-0.067,0.016,,,,-3.170,-2.942,-0.590,,,7.160,17.700
B0.5V,29000,4.462,4.430,-6.330,-2.830,-3.500,-0.289,,,,,,-0.120,-1.030,,-0.338,-0.913,-0.153,-0.063,0.017,,,,-2.800,-2.587,-0.540,,,6.480,15.000
B1V,26000,4.415,4.130,-5.580,-2.580,-3.000,-0.278,,,,,,-0.113,-0.995,-0.115,-0.325,-0.874,-0.148,-0.059,0.018,,,,-2.330,-2.126,-0.490,,,5.710,11.000
B1.5V,24500,4.389,3.910,-5.040,-2.440,-2.600,-0.252,-0.274,,,,,-0.103,-0.910,-0.114,-0.281,-0.752,-0.132,-0.047,0.021,,,,-2.030,-1.848,-0.483,,,5.020,10.000
B2V,20600,4.314,3.430,-3.830,-2.030,-1.800,-0.215,-0.219,,,,,-0.094,-0.790,-0.094,-0.230,-0.602,-0.113,-0.032,0.023,,,,-1.340,-1.198,-0.475,,,4.060,7.300
B2.5V,18500,4.267,3.200,-3.270,-1.770,-1.500,-0.198,-0.206,,,,,-0.087,-0.732,-0.087,-0.210,-0.544,-0.105,-0.026,0.025,,,,-1.090,-0.956,-0.468,,,3.890,6.000
B3V,17000,4.230,2.990,-2.740,-1.540,-1.200,-0.178,-0.184,0.010,,,-1.190,-0.083,-0.673,-0.080,-0.192,-0.492,-0.098,-0.021,0.026,,,,-0.830,-0.708,-0.460,,,3.610,5.400
B4V,16400,4.215,2.890,-2.490,-1.490,-1.000,-0.165,-0.170,0.010,,,-0.990,-0.078,-0.619,-0.074,-0.176,-0.447,-0.092,-0.016,0.028,,,,-0.660,-0.553,-0.437,,,3.460,5.100
B5V,15700,4.196,2.770,-2.190,-1.340,-0.850,-0.156,-0.160,0.010,,,-0.840,-0.072,-0.581,-0.070,-0.165,-0.417,-0.089,-0.013,0.029,-0.045,-0.117,-0.070,-0.540,-0.433,-0.413,,,3.360,4.700
B6V,14500,4.161,2.570,-1.680,-1.130,-0.550,-0.140,-0.142,0.010,,,-0.540,-0.066,-0.504,-0.062,-0.145,-0.358,-0.081,-0.007,0.030,-0.045,-0.117,-0.070,-0.280,-0.192,-0.390,,,3.270,4.300
B7V,14000,4.146,2.480,-1.450,-1.050,-0.400,-0.128,-0.129,0.010,,,-0.390,-0.062,-0.459,-0.058,-0.133,-0.325,-0.077,-0.004,0.031,-0.045,-0.117,-0.070,-0.160,-0.075,-0.360,,,2.940,3.920
B8V,12300,4.090,2.190,-0.730,-0.730,0.000,-0.109,-0.107,0.020,,,-0.010,-0.045,-0.364,-0.048,-0.108,-0.254,-0.067,0.003,0.033,-0.046,-0.116,-0.067,0.190,0.254,-0.330,,,2.860,3.380
B9V,10700,4.029,1.860,0.080,-0.420,0.500,-0.070,-0.063,0.015,-0.120,-0.036,0.515,-0.029,-0.200,-0.028,-0.061,-0.121,-0.050,0.016,0.038,-0.063,-0.104,-0.054,0.590,0.621,-0.280,,,2.490,2.750
B9.5V,10400,4.017,1.800,0.240,-0.360,0.600,-0.050,-0.040,0.015,-0.087,-0.016,0.615,-0.021,-0.130,-0.017,-0.035,-0.048,-0.044,0.021,0.040,-0.044,-0.091,-0.043,0.630,0.648,-0.265,,,2.450,2.680
A0V,9700,3.987,1.580,0.780,-0.210,0.990,0.000,0.013,0.010,-0.037,-0.020,1.000,0.000,-0.005,0.001,0.004,0.041,-0.032,0.028,0.042,-0.041,-0.074,-0.022,0.950,0.949,-0.250,,,2.193,2.180
A1V,9300,3.968,1.490,1.020,-0.140,1.160,0.035,0.056,0.000,0.005,0.032,1.160,0.017,0.033,0.019,0.044,0.090,-0.025,0.030,0.043,-0.036,-0.068,-0.023,1.080,1.070,-0.210,,,2.136,2.050
A2V,8800,3.944,1.380,1.280,-0.070,1.350,0.070,0.091,-0.005,0.068,0.050,1.345,0.038,0.063,0.042,0.091,0.178,-0.012,0.034,0.044,-0.034,-0.067,-0.029,1.190,1.172,-0.170,,,2.117,1.980
A3V,8600,3.934,1.230,1.660,-0.040,1.700,0.100,0.109,-0.010,0.110,0.092,1.690,0.055,0.077,0.050,0.108,0.253,0.003,0.035,0.045,-0.033,-0.066,-0.029,1.490,1.447,-0.140,,,1.861,1.860
A4V,8250,3.917,1.130,1.920,-0.020,1.940,0.140,0.166,-0.020,0.166,0.113,1.920,0.071,0.097,0.078,0.164,0.353,0.022,0.037,0.046,-0.031,-0.059,-0.021,1.650,1.587,-0.090,,,1.794,1.930
A5V,8100,3.908,1.090,2.010,0.000,2.010,0.160,0.185,-0.030,0.194,0.130,1.980,0.090,0.100,0.089,0.186,0.403,0.031,0.038,0.046,-0.030,-0.058,-0.021,1.680,1.607,-0.070,,,1.785,1.880
A6V,7910,3.898,1.050,2.130,0.005,2.120,0.185,0.194,-0.030,0.222,0.152,2.090,0.099,0.098,0.094,0.197,0.465,0.043,0.039,0.046,-0.030,-0.057,-0.018,1.740,1.655,-0.050,,,1.775,1.830
A7V,7760,3.890,1.000,2.240,0.010,2.230,0.210,0.233,-0.040,0.263,0.173,2.190,0.107,0.091,0.117,0.242,0.528,0.055,0.040,0.047,-0.030,-0.056,-0.017,1.800,1.702,-0.020,,,1.750,1.770
A8V,7590,3.880,0.960,2.340,0.020,2.320,0.250,0.274,-0.050,0.320,0.204,2.270,0.132,0.082,0.140,0.288,0.601,0.070,0.042,0.048,-0.028,-0.055,-0.009,1.810,1.694,0.030,,,1.747,1.810
