Teff,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
2000.0,0.478,1.1,-0.23,-1.681,-1.076,-2.846,1.925,0.326,-1.473,-1.119,-3.161,-2.996,-0.73,-0.83,7.0,0.147,1.01700004E10
2250.0,0.399,1.124,0.045,-1.372,-1.079,-2.311,1.82,0.623,-1.199,-1.013,-2.512,-2.598,-0.342,-0.351,7.0,0.147,9.6289997E9
2500.0,0.327,1.114,0.255,-0.992,-1.084,-1.882,1.724,0.788,-0.789,-0.974,-1.877,-2.116,-0.024,0.077,7.0,0.147,8.28E9
2750.0,0.262,1.088,0.407,-0.559,-1.068,-1.387,1.637,0.864,-0.392,-0.903,-1.259,-1.58,0.216,0.436,7.0,0.147,4.8729999E9
3000.0,0.203,1.054,0.501,-0.174,-1.046,-0.951,1.556,0.886,-0.109,-0.678,-0.73,-1.087,0.39,0.712,7.0,0.148,3.67299994E9
3250.0,0.15,1.018,0.557,0.134,-1.043,-0.712,1.485,0.877,0.088,-0.415,-0.241,-0.608,0.519,0.928,7.0,0.149,3.17299994E9
3500.0,0.1,0.982,0.584,0.343,-1.022,-0.533,1.416,0.854,0.209,-0.194,0.23,-0.133,0.606,1.075,7.0,0.15,2.90200013E9
3750.0,0.049,0.94,0.589,0.466,-0.988,-0.408,1.347,0.819,0.271,-0.041,0.654,0.302,0.654,1.154,7.0,0.151,2.792E9
4000.0,-0.001,0.896,0.579,0.524,-0.896,-0.319,1.277,0.778,0.293,0.052,0.998,0.662,0.673,1.18,7.0,0.151,2.48899994E9
4250.0,-0.055,0.851,0.558,0.54,-0.741,-0.319,1.203,0.732,0.29,0.098,1.24,0.924,0.67,1.166,7.0,0.152,2.19299994E9
4500.0,-0.11,0.801,0.533,0.532,-0.527,-0.243,1.128,0.682,0.273,0.11,1.37,1.074,0.653,1.126,7.0,0.153,1.95500006E9
4750.0,-0.163,0.754,0.506,0.515,-0.296,-0.156,1.054,0.634,0.252,0.108,1.413,1.138,0.631,1.078,7.0,0.155,1.73699994E9
5000.0,-0.223,0.697,0.471,0.485,-0.098,-0.107,0.971,0.575,0.221,0.092,1.373,1.123,0.598,1.009,7.0,0.157,1.546E9
5250.0,-0.278,0.647,0.44,0.457,0.045,-0.053,0.894,0.522,0.194,0.074,1.31,1.084,0.567,0.946,7.0,0.159,1.376E9
5500.0,-0.33,0.599,0.409,0.427,0.13,-0.007,0.824,0.47,0.164,0.055,1.226,1.022,0.534,0.882,7.0,0.161,1.226E9
5750.0,-0.379,0.552,0.38,0.396,0.171,0.026,0.755,0.42,0.137,0.034,1.137,0.955,0.5,0.818,7.0,0.164,1.092E9
6000.0,-0.432,0.504,0.35,0.369,0.203,0.051,0.684,0.369,0.11,0.016,1.054,0.894,0.467,0.755,7.0,0.167,9.8769997E8
2000.0,0.406,0.966,-0.427,-1.751,-1.016,-2.847,1.816,0.025,-1.506,-1.151,-3.261,-2.895,-0.963,-1.111,7.5,0.312,1.29299999E10
2250.0,0.334,1.034,-0.106,-1.51,-1.026,-2.33,1.729,0.42,-1.33,-1.09,-2.659,-2.607,-0.548,-0.615,7.5,0.312,1.14700001E10
2500.0,0.266,1.05,0.16,-1.293,-0.975,-1.791,1.64,0.675,-0.959,-1.195,-2.037,-2.205,-0.185,-0.146,7.5,0.312,1.01199995E10
2750.0,0.204,1.034,0.321,-0.804,-1.0,-1.342,1.557,0.779,-0.571,-1.079,-1.478,-1.747,0.08,0.226,7.5,0.312,8.5869998E9
3000.0,0.149,1.007,0.431,-0.362,-1.02,-1.131,1.483,0.818,-0.252,-0.801,-0.951,-1.269,0.285,0.537,7.5,0.312,7.3699999E9
3250.0,0.102,0.976,0.5,-0.026,-1.01,-0.832,1.418,0.824,-0.025,-0.548,-0.497,-0.835,0.432,0.773,7.5,0.313,6.3430001E9
3500.0,0.057,0.943,0.539,0.223,-1.002,-0.574,1.357,0.808,0.127,-0.31,-0.059,-0.399,0.538,0.949,7.5,0.313,5.3059999E9
