Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
1500.0,22.926,20.527,18.021,17.746,19.438,19.578,19.584,21.336,23.94,19.241,17.619,19.668,19.352,18.38,18.414,18.66,2.399,2.506,0.275,-1.692,-0.006,-1.752,4.699,1.622,-2.049,0.316,-1.557,-1.959,-0.28,-0.246,7.0,0.15,1.62299996E10
1750.0,22.232,20.018,17.607,17.153,18.233,18.418,18.556,19.798,23.228,18.8,17.07,18.526,18.313,17.779,17.933,17.705,2.214,2.411,0.454,-1.08,-0.138,-1.242,4.428,1.73,-1.456,0.213,-0.811,-1.348,0.074,0.228,7.0,0.151,1.33799997E10
2000.0,21.626,19.588,17.288,16.687,17.24,17.456,17.705,18.621,22.599,18.437,16.673,17.58,17.441,17.275,17.575,16.924,2.038,2.3,0.601,-0.553,-0.249,-0.916,4.162,1.764,-0.907,0.139,-0.168,-0.783,0.351,0.651,7.0,0.151,1.07800003E10
2250.0,21.083,19.203,17.016,16.299,16.427,16.651,16.968,17.633,22.038,18.113,16.368,16.807,16.712,16.83,17.284,16.277,1.88,2.187,0.717,-0.128,-0.317,-0.665,3.925,1.745,-0.439,0.095,0.365,-0.283,0.553,1.007,7.0,0.151,7.8790001E9
2500.0,20.59,18.855,16.778,15.974,15.757,15.963,16.33,16.817,21.529,17.822,16.128,16.191,16.094,16.44,17.039,15.74,1.735,2.077,0.804,0.217,-0.367,-0.487,3.707,1.694,-0.063,0.097,0.815,0.165,0.7,1.299,7.0,0.152,5.4790001E9
2750.0,20.123,18.526,16.556,15.696,15.22,15.353,15.742,16.103,21.046,17.546,15.922,15.71,15.578,16.099,16.816,15.297,1.597,1.97,0.86,0.476,-0.389,-0.361,3.5,1.624,0.212,0.132,1.203,0.569,0.802,1.519,7.0,0.152,3.94300006E9
3000.0,19.654,18.195,16.334,15.451,14.807,14.794,15.173,15.439,20.563,17.269,15.727,15.342,15.158,15.802,16.596,14.939,1.459,1.861,0.883,0.644,-0.379,-0.266,3.294,1.542,0.385,0.184,1.54,0.933,0.863,1.657,7.0,0.152,3.472E9
3250.0,19.171,17.854,16.107,15.232,14.504,14.281,14.604,14.793,20.068,16.984,15.533,15.065,14.834,15.548,16.37,14.658,1.317,1.747,0.875,0.728,-0.323,-0.189,3.084,1.451,0.468,0.231,1.826,1.252,0.89,1.712,7.0,0.153,3.14499994E9
3500.0,18.666,17.496,15.868,15.025,14.274,13.827,14.046,14.162,19.549,16.683,15.332,14.844,14.586,15.32,16.131,14.431,1.17,1.628,0.843,0.751,-0.219,-0.116,2.866,1.351,0.488,0.258,2.041,1.505,0.889,1.7,7.0,0.153,2.92700006E9
3750.0,18.124,17.111,15.61,14.814,14.075,13.456,13.531,13.567,18.996,16.359,15.114,14.642,14.383,15.098,15.87,14.229,1.013,1.501,0.796,0.739,-0.075,-0.036,2.637,1.245,0.472,0.259,2.154,1.658,0.869,1.641,7.0,0.154,2.80300006E9
4000.0,17.534,16.687,15.322,14.58,13.875,13.176,13.088,13.064,18.393,16.0,14.869,14.432,14.189,14.858,15.576,14.023,0.847,1.365,0.742,0.705,0.088,0.024,2.393,1.131,0.437,0.243,2.146,1.693,0.835,1.553,7.0,0.155,2.55000013E9
4250.0,16.892,16.223,15.0,14.319,13.658,12.963,12.725,12.678,17.74,15.603,14.593,14.201,13.986,14.591,15.245,13.799,0.669,1.223,0.681,0.661,0.238,0.047,2.137,1.01,0.392,0.215,2.037,1.63,0.792,1.446,7.0,0.157,2.22899994E9
4500.0,16.247,15.754,14.667,14.046,13.433,12.783,12.45,12.372,17.086,15.197,14.305,13.96,13.778,14.31,14.899,13.566,0.493,1.087,0.621,0.613,0.333,0.078,1.889,0.892,0.345,0.182,1.884,1.522,0.744,1.333,7.0,0.159,1.95500006E9
4750.0,15.611,15.287,14.329,13.764,13.199,12.606,12.242,12.136,16.442,14.79,14.009,13.711,13.562,14.018,14.545,13.324,0.324,0.958,0.565,0.565,0.364,0.106,1.652,0.781,0.298,0.149,1.723,1.403,0.694,1.221,7.0,0.162,1.674E9
5000.0,14.981,14.832,13.993,13.483,12.963,12.426,12.069,11.961,15.804,14.39,13.714,13.46,13.342,13.724,14.191,13.08,0.149,0.839,0.51,0.52,0.357,0.108,1.414,0.676,0.254,0.118,1.567,1.288,0.644,1.111,7.0,0.168,1.36E9
5250.0,14.395,14.421,13.687,13.224,12.745,12.258,11.919,11.822,15.213,14.027,13.444,13.229,13.139,13.451,13.866,12.855,-0.026,0.734,0.463,0.479,0.339,0.097,1.186,0.583,0.215,0.09,1.429,1.186,0.596,1.011,7.0,0.174,1.14700006E9
5500.0,13.878,14.06,13.413,12.992,12.551,12.107,11.785,11.703,14.693,13.705,13.202,13.022,12.957,13.206,13.574,12.654,-0.182,0.647,0.421,0.441,0.322,0.082,0.988,0.503,0.18,0.065,1.306,1.095,0.552,0.92,7.0,0.179,9.696E8
6000.0,13.081,13.467,12.952,12.602,12.226,11.856,11.567,11.514,13.9,13.167,12.796,12.677,12.655,12.79,13.083,12.318,-0.386,0.515,0.35,0.376,0.289,0.053,0.733,0.371,0.119,0.022,1.096,0.94,0.472,0.765,7.0,0.188,7.762E8
6500.0,12.506,12.998,12.575,12.282,11.96,11.656,11.405,11.373,13.327,12.735,12.462,12.394,12.408,12.446,12.683,12.041,-0.492,0.423,0.293,0.322,0.251,0.032,0.592,0.273,0.068,-0.014,0.919,0.806,0.405,0.642,7.0,0.192,6.3289997E8
7000.0,12.051,12.599,12.243,11.995,11.72,11.479,11.267,11.251,12.876,12.36,12.165,12.139,12.185,12.14,12.334,11.792,-0.548,0.356,0.248,0.275,0.212,0.016,0.516,0.195,0.026,-0.046,0.764,0.686,0.348,0.542,7.0,0.197,5.182E8
7500.0,11.677,12.248,11.942,11.734,11.501,11.317,11.143,11.141,12.506,12.026,11.895,11.906,11.981,11.862,12.021,11.565,-0.571,0.306,0.208,0.233,0.174,0.002,0.48,0.131,-0.011,-0.075,0.625,0.578,0.297,0.456,7.0,0.201,4.253E8
8000.0,11.362,11.93,11.663,11.493,11.298,11.169,11.031,11.039,12.194,11.721,11.646,11.69,11.794,11.605,11.734,11.355,-0.568,0.267,0.17,0.195,0.138,-0.008,0.473,0.075,-0.044,-0.104,0.494,0.477,0.25,0.379,7.0,0.205,3.464E8
8500.0,11.087,11.638,11.401,11.266,11.109,11.031,10.928,10.942,11.924,11.437,11.412,11.488,11.62,11.363,11.467,11.16,-0.551,0.237,0.135,0.157,0.103,-0.014,0.487,0.025,-0.076,-0.132,0.37,0.381,0.203,0.307,7.0,0.209,2.836E8
9000.0,10.842,11.367,11.154,11.054,10.934,10.902,10.832,10.852,11.684,11.172,11.194,11.3,11.459,11.137,11.218,10.978,-0.525,0.213,0.1,0.12,0.07,-0.02,0.512,-0.022,-0.106,-0.159,0.252,0.292,0.159,0.24,7.0,0.213,2.318E8
9500.0,10.621,11.119,10.925,10.859,10.774,10.784,10.744,10.769,11.467,10.928,10.993,11.129,11.314,10.928,10.988,10.812,-0.498,0.194,0.066,0.085,0.04,-0.025,0.539,-0.065,-0.136,-0.185,0.141,0.209,0.116,0.176,7.0,0.217,1.878E8
