Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
3500,20.374,19.186,17.190,15.907,14.774,13.610,13.120,12.831,21.252,18.245,16.371,15.474,14.944,16.104,17.371,14.980,1.188,1.996,1.283,1.133,0.490,0.289,3.007,1.874,0.897,0.530,3.580,2.761,1.124,2.391,7,0.150,2.90E+09
3750,19.367,18.340,16.515,15.371,14.352,13.350,12.921,12.670,20.235,17.475,15.785,15.008,14.569,15.605,16.720,14.546,1.027,1.825,1.144,1.019,0.429,0.251,2.760,1.690,0.777,0.439,3.165,2.435,1.059,2.174,7,0.151,2.79E+09
4000,18.449,17.573,15.912,14.895,13.983,13.124,12.748,12.527,19.308,16.779,15.264,14.600,14.243,15.155,16.134,14.164,0.876,1.661,1.017,0.912,0.376,0.221,2.529,1.515,0.664,0.357,2.788,2.140,0.991,1.970,7,0.151,2.49E+09
4250,17.605,16.874,15.371,14.473,13.662,12.928,12.596,12.402,18.455,16.148,14.804,14.244,13.960,14.750,15.604,13.829,0.731,1.503,0.898,0.811,0.332,0.194,2.307,1.344,0.560,0.284,2.443,1.876,0.921,1.775,7,0.152,2.19E+09
4500,16.818,16.233,14.888,14.100,13.384,12.758,12.464,12.293,17.662,15.575,14.398,13.934,13.715,14.384,15.125,13.535,0.585,1.345,0.788,0.716,0.294,0.171,2.087,1.177,0.464,0.219,2.130,1.640,0.849,1.590,7,0.153,1.96E+09
4750,16.079,15.644,14.457,13.772,13.142,12.611,12.349,12.197,16.916,15.053,14.040,13.664,13.502,14.054,14.691,13.278,0.435,1.187,0.685,0.630,0.262,0.152,1.863,1.013,0.376,0.162,1.846,1.429,0.776,1.413,7,0.155,1.74E+09
5000,15.385,15.108,14.077,13.484,12.932,12.480,12.245,12.110,16.215,14.584,13.728,13.430,13.317,13.757,14.300,13.055,0.277,1.031,0.593,0.552,0.235,0.135,1.631,0.856,0.298,0.113,1.597,1.248,0.702,1.245,7,0.157,1.55E+09
5250,14.752,14.635,13.749,13.234,12.747,12.362,12.149,12.027,15.577,14.173,13.459,13.226,13.153,13.491,13.955,12.858,0.117,0.886,0.515,0.487,0.213,0.122,1.404,0.714,0.233,0.073,1.387,1.097,0.633,1.097,7,0.159,1.38E+09
5500,14.198,14.229,13.466,13.015,12.581,12.249,12.056,11.946,15.019,13.820,13.224,13.045,13.004,13.254,13.653,12.682,-0.031,0.763,0.451,0.434,0.193,0.110,1.199,0.596,0.179,0.041,1.217,0.975,0.572,0.971,7,0.161,1.23E+09
6000,13.322,13.585,13.002,12.640,12.285,12.037,11.876,11.788,14.141,13.252,12.829,12.725,12.733,12.846,13.151,12.371,-0.263,0.583,0.362,0.355,0.161,0.088,0.889,0.423,0.104,-0.008,0.965,0.792,0.475,0.780,7,0.167,9.88E+08
6500,12.683,13.095,12.628,12.326,12.029,11.848,11.714,11.645,13.502,12.810,12.501,12.451,12.496,12.506,12.748,12.103,-0.412,0.467,0.302,0.297,0.134,0.069,0.692,0.309,0.050,-0.045,0.780,0.653,0.403,0.645,7,0.171,8.25E+08
7000,12.174,12.688,12.303,12.047,11.795,11.670,11.561,11.508,12.994,12.436,12.210,12.203,12.278,12.205,12.401,11.859,-0.514,0.385,0.256,0.252,0.109,0.053,0.558,0.226,0.007,-0.075,0.633,0.540,0.346,0.542,7,0.175,6.93E+08
7500,11.744,12.334,12.013,11.792,11.578,11.501,11.414,11.377,12.565,12.107,11.947,11.975,12.074,11.931,12.091,11.634,-0.590,0.321,0.221,0.214,0.087,0.037,0.458,0.160,-0.028,-0.099,0.512,0.446,0.297,0.457,7,0.180,5.82E+08
8000,11.368,12.020,11.753,11.563,11.382,11.347,11.279,11.256,12.190,11.814,11.711,11.768,11.889,11.685,11.814,11.431,-0.652,0.267,0.190,0.181,0.068,0.023,0.376,0.103,-0.057,-0.121,0.406,0.364,0.254,0.383,7,0.184,4.90E+08
8500,11.036,11.736,11.511,11.345,11.189,11.191,11.142,11.133,11.858,11.547,11.487,11.567,11.706,11.452,11.558,11.232,-0.700,0.225,0.166,0.156,0.049,0.009,0.311,0.060,-0.080,-0.139,0.320,0.296,0.220,0.326,7,0.189,4.14E+08
9000,10.729,11.479,11.298,11.158,11.031,11.069,11.035,11.036,11.553,11.306,11.294,11.400,11.558,11.249,11.329,11.067,-0.750,0.181,0.140,0.127,0.034,-0.001,0.247,0.012,-0.106,-0.158,0.229,0.225,0.182,0.262,7,0.194,3.52E+08
9500,10.456,11.252,11.112,10.994,10.891,10.959,10.938,10.948,11.280,11.094,11.126,11.253,11.427,11.069,11.127,10.923,-0.796,0.140,0.118,0.103,0.021,-0.010,0.186,-0.032,-0.127,-0.174,0.153,0.167,0.146,0.204,7,0.199,3.01E+08
10000,10.216,11.057,10.957,10.862,10.782,10.874,10.863,10.880,11.042,10.914,10.989,11.137,11.325,10.921,10.957,10.808,-0.841,0.100,0.095,0.080,0.011,-0.017,0.128,-0.075,-0.148,-0.188,0.083,0.115,0.113,0.149,7,0.202,2.60E+08
11000,9.810,10.714,10.669,10.607,10.561,10.698,10.707,10.739,10.637,10.592,10.727,10.906,11.117,10.641,10.647,10.579,-0.904,0.045,0.062,0.046,-0.009,-0.032,0.045,-0.135,-0.179,-0.211,-0.029,0.029,0.062,0.068,7,0.208,2.00E+08
12000,9.471,10.423,10.421,10.387,10.369,10.543,10.570,10.612,10.300,10.316,10.501,10.706,10.935,10.400,10.381,10.381,-0.952,0.002,0.034,0.018,-0.027,-0.042,-0.016,-0.185,-0.205,-0.229,-0.122,-0.042,0.019,0.000,7,0.214,1.55E+08
13000,9.182,10.166,10.198,10.187,10.194,10.400,10.440,10.492,10.012,10.071,10.296,10.523,10.768,10.182,10.144,10.200,-0.984,-0.032,0.011,-0.007,-0.040,-0.052,-0.059,-0.225,-0.227,-0.245,-0.202,-0.104,-0.018,-0.056,7,0.219,1.22E+08
14000,8.931,9.935,9.991,9.999,10.028,10.260,10.314,10.374,9.762,9.848,10.105,10.351,10.609,9.980,9.926,10.029,-1.004,-0.056,-0.008,-0.029,-0.054,-0.060,-0.086,-0.257,-0.246,-0.258,-0.269,-0.155,-0.049,-0.103,7,0.224,9.65E+07
15000,8.711,9.726,9.798,9.825,9.871,10.125,10.190,10.255,9.544,9.643,9.926,10.189,10.458,9.793,9.728,9.868,-1.015,-0.072,-0.027,-0.046,-0.065,-0.065,-0.099,-0.283,-0.263,-0.269,-0.327,-0.199,-0.075,-0.140,7,0.229,7.71E+07
16000,8.520,9.539,9.622,9.665,9.726,9.994,10.069,10.140,9.354,9.460,9.764,10.040,10.316,9.623,9.549,9.720,-1.019,-0.083,-0.043,-0.061,-0.075,-0.071,-0.106,-0.304,-0.276,-0.276,-0.372,-0.230,-0.097,-0.171,7,0.234,6.25E+07
17000,8.355,9.377,9.468,9.525,9.598,9.875,9.958,10.031,9.190,9.299,9.622,9.909,10.191,9.474,9.392,9.589,-1.022,-0.091,-0.057,-0.073,-0.083,-0.073,-0.109,-0.323,-0.287,-0.282,-0.407,-0.253,-0.115,-0.197,7,0.238,5.15E+07
18000,8.230,9.255,9.355,9.424,9.508,9.790,9.881,9.956,9.066,9.180,9.519,9.816,10.102,9.365,9.276,9.497,-1.025,-0.100,-0.069,-0.084,-0.091,-0.075,-0.114,-0.339,-0.297,-0.286,-0.435,-0.271,-0.132,-0.221,7,0.238,6.03E+07
19000,8.105,9.135,9.243,9.323,9.416,9.702,9.798,9.874,8.942,9.062,9.416,9.722,10.012,9.257,9.161,9.403,-1.030,-0.108,-0.080,-0.093,-0.096,-0.076,-0.120,-0.354,-0.306,-0.290,-0.459,-0.286,-0.146,-0.242,7,0.243,5.22E+07
20000,8.009,9.042,9.159,9.247,9.347,9.636,9.734,9.809,8.846,8.972,9.339,9.652,9.944,9.174,9.074,9.332,-1.033,-0.117,-0.088,-0.100,-0.098,-0.075,-0.126,-0.367,-0.313,-0.292,-0.477,-0.297,-0.158,-0.258,7,0.247,4.56E+07
21000,7.954,8.987,9.109,9.201,9.305,9.594,9.691,9.764,8.792,8.918,9.292,9.609,9.903,9.125,9.022,9.289,-1.033,-0.122,-0.092,-0.104,-0.097,-0.073,-0.126,-0.374,-0.317,-0.294,-0.485,-0.302,-0.164,-0.267,7,0.252,4.01E+07
22000,7.906,8.941,9.068,9.162,9.267,9.555,9.649,9.721,8.744,8.873,9.252,9.570,9.864,9.083,8.978,9.251,-1.035,-0.127,-0.094,-0.105,-0.094,-0.072,-0.129,-0.379,-0.318,-0.294,-0.487,-0.303,-0.168,-0.273,7,0.257,3.55E+07
23000,7.841,8.880,9.015,9.111,9.218,9.507,9.599,9.670,8.679,8.815,9.201,9.521,9.816,9.029,8.922,9.201,-1.039,-0.135,-0.096,-0.107,-0.092,-0.071,-0.136,-0.386,-0.320,-0.295,-0.492,-0.306,-0.172,-0.279,7,0.261,3.15E+07
24000,7.749,8.797,8.943,9.043,9.154,9.447,9.540,9.612,8.588,8.737,9.132,9.456,9.753,8.956,8.844,9.136,-1.048,-0.146,-0.100,-0.111,-0.093,-0.072,-0.149,-0.395,-0.324,-0.297,-0.504,-0.315,-0.180,-0.292,7,0.266,2.82E+07
25000,7.647,8.708,8.866,8.968,9.085,9.384,9.479,9.552,8.486,8.652,9.057,9.385,9.686,8.877,8.761,9.066,-1.061,-0.158,-0.102,-0.117,-0.095,-0.073,-0.166,-0.405,-0.328,-0.301,-0.518,-0.327,-0.189,-0.305,7,0.271,2.53E+07
26000,7.547,8.620,8.790,8.895,9.017,9.322,9.419,9.494,8.386,8.569,8.984,9.316,9.620,8.799,8.679,8.996,-1.073,-0.170,-0.105,-0.122,-0.097,-0.075,-0.183,-0.415,-0.332,-0.304,-0.532,-0.338,-0.197,-0.317,7,0.276,2.28E+07
27000,7.449,8.536,8.716,8.824,8.951,9.261,9.360,9.437,8.288,8.488,8.911,9.248,9.554,8.723,8.599,8.928,-1.087,-0.180,-0.108,-0.127,-0.099,-0.077,-0.200,-0.423,-0.337,-0.306,-0.545,-0.350,-0.205,-0.329,7,0.281,2.07E+07
