SpT,W1-W2,J-W2
10,0.16,1.69
10,0.26,1.8
10,0.32,1.96
10,0.26,1.85
10,0.22,1.26
10,0.31,1.63
10,0.3,1.74
10,0.27,1.94
10,0.32,2.25
10,0.26,2.04
10,0.38,2.61
10,0.29,1.86
10,0.29,1.9
10,0.3,2.05
10,0.3,1.94
10,0.27,1.81
10,0.33,1.58
10,0.35,1.71
10,0.47,1.92
10,0.38,1.73
10,0.41,2.91
10,0.23,1.24
10,0.4,2.65
10,0.34,1.72
10,0.28,1.86
10,0.35,1.38
10,0.35,2.39
10,0.38,2.61
10,0.3,1.94
10,-0.08,0.92
10,0.21,1.68
10,0.24,1.95
10,0.22,1.83
10,0.35,2.15
10,0.28,1.91
10,0.26,2.11
10,0.34,2.39
10,0.28,1.86
10,0.37,2.52
10,0.32,1.59
10,0.26,1.7
10,0.26,1.65
10,0.25,1.26
10,0.28,1.88
10,0.34,2.26
10,0.41,2.71
10,0.35,1.59
10,0.31,1.25
10,0.26,1.9
10,0.31,1.83
10,0.39,2.27
10,0.32,2.01
10,0.34,2.65
10,0.33,1.34
10,0.27,1.97
10,0.55,3.49
10,0.34,1.02
10,0.24,1.11
10,0.24,1.86
10,0.18,2.33
10,0.29,1.97
10,0.35,1.97
10,0.23,1.86
10,0.36,1.68
10,0.34,1.78
10,0.21,1.69
10,0.26,1.81
10,-0.07,1.3
10,0.15,1.65
10,-0.07,1.41
10,0.21,1.87
10,0.24,1.65
10,0.35,1.69
10,0.33,1.37
10,0.23,1.57
10,0.22,1.73
10,0.09,1.44
10,0.35,1.91
10,0.08,1.5
10,0.17,1.72
10,0.28,1.85
10,0.35,2.16
10,0.25,1.89
10,0.21,1.89
10,0.39,2.09
10,0.25,1.66
10,0.31,1.82
10,0.22,1.82
10,0.03,1.69
10,0.35,1.79
10,0.34,1.88
10,0.22,1.75
10,0.22,2.05
10,0.3,2.05
10,0.13,1.88
10,0.18,1.83
10,0.33,1.99
10,0.24,2.01
10,0.29,1.87
10,0.24,1.73
10,0.29,1.83
10,0.27,1.95
10,0.37,1.87
10,0.32,1.86
10,0.22,1.73
10,0.29,2.2
10,0.23,1.94
10,0.24,1.75
10,0.24,1.69
10,0.35,1.81
10,0.25,1.42
10,0.24,1.89
10,0.3,1.65
10,0.24,1.9
10,0.32,1.9
10,0.13,1.51
10,0.32,1.63
10,0.34,1.81
10,0.23,1.96
10,0.23,1.72
10,0.27,2.02
10,0.2,1.74
10,0.29,1.85
