SpT,W1-W2,J-W2
20,0.66,2.74
20,0.61,3.07
20,0.61,3.05
20,0.64,2.57
20,0.71,3.04
20,0.58,2.5
20,0.51,2.47
20,0.65,2.38
20,0.47,2.62
20,0.7,3.18
20,0.55,3.14
20,0.52,2.62
20,0.48,2.75
20,0.55,2.4
20,0.43,2.94
20,0.72,2.77
20,0.6,3.28
20,0.41,2.15
20,0.58,2.22
20.5,0.74,3.45
21,0.69,2.64
21,0.79,2.6
21,0.62,2.55
21,0.65,2.37
21,0.48,2.89
21,0.82,2.9
21,0.91,2.62
21,0.76,1.94
21,0.56,2.39
21,0.62,2.18
21,0.63,2.73
21,1.23,2.42
21,0.72,2.68
21,0.71,2.69
21.5,0.77,2.92
21.5,0.88,2.25
21.5,1.02,2.54
21.5,0.72,2.81
21.5,0.9,2.42
21.5,0.78,2.57
21.5,0.84,2.1
21.5,0.88,2.58
21.5,0.98,3.07
21.5,0.76,3.27
21.5,0.8,2.1
22,1.08,2.36
22,1.02,2.61
22,0.94,2.88
22,0.66,2.84
22,0.59,2.24
22,0.93,2.47
22,0.72,2.69
22,0.65,2.43
22,0.92,2.78
22,0.92,2.13
22,0.8,2.39
22,1.12,2.2
22,0.91,2.48
22,0.7,3.08
22,1.07,2.89
22,0.46,2.8
22,0.96,2.69
22,0.89,2.78
22,0.82,2.51
22,0.85,2.45
22,1.19,2.21
22,1.1,2.15
22.5,0.98,2.49
22.5,1.05,2.65
22.5,0.88,2.46
22.5,0.99,2.59
22.5,1.0,2.28
22.5,0.81,2.46
22.5,0.83,3.3
22.5,0.92,2.68
22.5,1.06,2.52
22.5,1.02,2.39
22.5,1.03,2.33
22.5,1.03,2.63
22.5,0.84,2.24
22.5,1.06,2.25
22.5,0.59,4.1
22.5,0.98,2.64
22.5,1.07,2.26
22.5,0.76,2.56
23,1.18,2.03
23,0.78,2.56
23,1.02,3.0
23,0.77,1.87
23,1.19,2.55
23,0.71,2.71
23,1.07,2.22
23,1.2,1.91
23,0.93,2.45
23,1.21,2.54
23,1.19,2.44
23,0.4,3.03
23,0.86,2.74
23,0.97,2.46
23,1.24,2.72
23.5,1.11,2.07
23.5,1.04,2.22
23.5,1.16,2.37
23.5,1.29,1.94
23.5,1.22,2.04
23.5,1.09,2.06
23.5,1.18,2.84
23.5,1.29,1.96
23.5,0.98,2.34
23.5,1.2,1.8
24,1.28,1.91
24,1.36,1.95
24,1.4,1.91
24,1.32,1.94
24,1.54,2.34
24,1.08,2.04
24,1.64,1.91
24,1.31,2.11
24,1.2,2.01
24,1.03,2.15
24,1.35,1.97
24,1.7,2.2
