SpT,W1-W2,J-W2
25,1.58,2.41
25,1.53,2.21
25,1.56,2.14
25,2.05,2.75
25,1.67,2.26
25,1.51,1.69
25,1.99,2.27
25,1.78,2.04
25,1.87,2.39
25,1.83,2.22
25,1.73,1.78
25,1.8,2.08
25,2.21,3.1
25,1.72,2.22
25,1.55,2.04
25,1.46,2.3
25,2.08,2.86
25,1.6,2.2
25,2.22,2.37
25,1.51,1.88
25,1.91,2.08
25,1.33,2.08
25,2.46,2.6
25,1.38,1.87
25,1.44,2.29
25,1.41,2.44
25.5,2.08,2.44
25.5,1.84,2.33
25.5,1.96,2.82
25.5,1.52,2.23
25.5,1.97,2.32
25.5,1.51,2.42
25.5,1.98,2.49
25.5,1.99,2.35
25.5,1.39,2.29
25.5,1.7,2.17
25.5,1.58,2.0
25.5,1.43,2.46
25.5,1.69,2.46
25.5,2.17,2.76
25.5,1.78,2.15
25.5,2.31,2.99
25.5,1.8,2.12
26,2.08,2.24
26,2.09,2.31
26,2.06,2.51
26,1.73,2.45
26,2.1,2.46
26,1.84,2.12
26,2.36,2.96
26,2.61,3.3
26,2.08,2.67
26,1.73,2.23
26,2.13,2.49
26,1.71,2.35
26,2.42,2.98
26,2.38,2.66
26,2.28,2.59
26,1.99,2.57
26,1.93,2.53
26,2.2,2.44
26,1.82,2.34
26,1.65,2.33
26,2.13,3.05
26,2.03,2.24
26,2.08,2.28
26,2.08,2.41
26,2.61,3.14
26,1.5,2.14
26,2.33,2.71
26,3.08,2.74
26,2.22,2.55
26,1.55,2.32
26,1.91,2.34
26,1.97,2.17
26,1.91,2.38
26,1.72,2.5
26.2,2.27,2.35
26.5,2.54,2.98
26.5,1.92,2.78
26.5,2.09,2.72
26.5,1.94,2.31
26.5,2.27,2.69
26.5,2.29,2.96
26.5,2.37,2.82
26.5,2.01,2.51
26.5,2.45,3.12
26.5,2.2,1.98
26.5,1.77,2.37
26.5,1.85,2.35
26.5,2.34,3.8
26.5,1.86,2.37
26.5,2.02,2.78
26.5,1.93,2.83
27,2.16,2.68
27,2.02,2.35
27,1.9,2.43
27,2.89,4.42
27,1.82,3.01
27,2.47,2.77
27,2.39,2.66
27,2.22,2.64
27,2.4,2.68
27,2.24,2.8
27,2.24,2.41
27,2.15,2.97
27,2.26,2.79
27,2.34,2.54
27,1.81,2.36
27,2.5,2.82
27,2.46,2.95
27,1.93,2.48
27,2.33,2.94
27,2.27,2.63
27.5,2.85,3.32
27.5,2.76,3.39
27.5,1.81,2.97
27.5,2.3,3.08
27.5,2.47,3.04
27.5,2.98,3.59
27.5,2.06,2.65
27.5,3.21,4.85
27.5,2.8,3.2
27.5,3.06,3.51
27.5,2.81,2.65
27.5,2.85,3.61
28,3.86,3.82
28,3.05,3.8
28,2.85,3.4
28,3.03,3.7
28,2.32,2.95
28,2.65,3.15
28,2.52,3.12
28,2.47,3.84
28,3.03,3.55
28,3.01,3.61
28,3.27,4.34
28,3.14,3.69
28,3.55,4.31
28,2.2,3.14
28,2.85,3.76
28,2.77,3.05
28,2.28,2.92
28,2.95,3.44
28,2.66,3.77
28,3.17,3.25
28,2.75,3.92
28,2.85,3.65
28,1.54,2.09
28,2.31,3.03
28,2.39,3.12
28,1.77,2.21
28,2.36,2.51
28,2.39,3.13
28,2.76,3.3
28.5,2.89,3.69
28.5,3.17,4.61
28.5,2.69,4.39
28.5,3.42,4.45
28.5,3.88,4.47
28.5,2.82,4.88
28.5,3.27,4.38
29,4.14,5.22
29,3.01,3.52
29,3.42,5.39
29,2.95,4.13
