SpT,W1-W2,J-W2
15,0.27,2.65
15,0.49,2.92
15,0.21,2.06
15,0.33,2.69
15,0.29,2.78
15,0.25,2.82
15,0.35,2.61
15,0.45,1.89
15,0.38,3.12
15,0.3,2.72
15,0.41,2.92
15,0.38,2.97
15,0.51,3.68
15,0.35,2.81
15,0.58,4.11
15,0.44,3.38
15,0.42,3.41
15,0.34,2.63
15,0.39,2.92
15,0.47,3.54
15,0.3,2.44
15,0.36,2.99
15,0.33,2.93
15,0.25,2.7
15,0.4,2.93
15,0.31,3.05
15,0.36,3.12
15,0.33,2.71
15,0.45,2.9
15,0.43,3.0
15,0.22,2.46
15,0.41,2.28
15,0.27,2.82
15,0.41,2.58
15,0.25,2.33
15,0.34,2.69
15,0.2,2.39
15,0.36,2.61
15,0.3,2.61
15,0.22,2.24
15,0.28,2.59
15,0.33,2.69
15,0.38,3.03
15,0.42,3.02
15,0.41,2.42
15,0.52,3.5
15,0.23,2.82
15,0.41,3.33
15,0.27,2.4
15,0.3,2.46
15,0.33,2.63
15,0.25,2.81
15,0.31,2.95
15,0.53,2.99
15,0.32,3.56
15,0.26,2.29
15,0.51,3.64
15,0.34,2.73
15,0.33,2.03
15,0.31,2.54
15,0.28,2.39
15,0.32,2.59
15,0.29,2.46
15,0.47,3.22
15,0.09,2.17
15,0.3,2.79
15,0.4,2.94
15,0.44,3.08
15,0.46,2.63
15,0.32,2.86
15,0.34,2.38
15,0.58,3.87
15.2,0.33,2.48
15.4,0.54,3.62
15.5,0.25,2.59
15.5,0.45,2.94
15.5,0.33,2.56
15.5,0.44,3.29
15.5,0.35,2.57
15.5,0.3,2.5
15.5,0.42,2.88
15.5,0.38,2.81
15.5,0.35,2.65
15.5,0.5,3.4
15.5,0.25,3.05
15.5,0.38,3.0
15.8,0.35,3.0
16,0.47,3.58
16,0.42,2.69
16,0.35,2.6
16,0.47,3.39
16,0.48,2.9
16,0.47,3.05
16,0.52,2.69
16,0.46,1.22
16,0.31,2.38
16,0.44,3.32
16,0.51,3.02
16,0.56,3.51
16,0.49,3.12
16,0.3,2.45
16,0.37,2.84
16,0.37,2.97
16,0.22,1.98
16,0.54,3.17
16,0.32,2.54
16,0.36,2.54
16,0.46,3.16
16,0.31,2.37
16,0.26,2.64
16,0.3,2.31
16,0.46,2.98
16,0.33,2.95
16,0.4,2.78
16,0.39,3.17
16,0.2,2.32
16,0.37,2.7
16,0.38,2.25
16,0.36,2.64
16,0.4,2.39
16,0.29,2.88
16,0.4,3.14
16,0.45,2.6
16,0.51,3.9
16,0.39,3.02
16,0.5,3.33
16,0.36,2.47
16.5,0.37,2.72
16.5,0.27,2.59
16.5,0.46,3.68
16.5,0.44,2.86
16.5,0.43,3.59
16.5,0.29,2.01
16.5,0.3,2.41
16.5,0.4,2.51
16.5,0.52,3.24
16.5,0.66,4.35
16.8,0.43,2.79
17,0.33,3.35
17,0.35,2.77
17,0.56,3.79
17,0.26,2.81
17,0.36,2.95
17,0.57,3.55
17,0.62,4.34
17,0.45,2.45
17,0.42,2.95
17,0.44,2.8
17,0.5,3.43
17,0.47,3.51
17,0.55,3.23
17,0.63,4.07
17,0.56,3.13
17,0.56,1.92
17,0.48,3.42
17,0.47,4.14
17,0.5,4.28
17,0.54,3.72
17,0.39,2.89
17,0.37,3.03
17,0.48,2.76
17,0.67,4.59
17,0.63,4.55
17,0.33,2.25
17,0.52,2.51
17,0.5,2.95
17,0.34,2.12
17,0.35,2.77
17,0.12,1.74
17,0.61,3.41
17,0.52,3.82
17,0.47,3.35
17,0.61,4.11
17,0.73,4.79
17,0.54,2.39
17,0.35,2.77
17,0.59,3.46
17,0.68,4.63
17,0.49,3.31
17,0.59,3.99
17.5,0.59,2.87
17.5,0.52,3.53
17.5,0.15,1.79
17.5,0.59,3.45
17.5,0.59,2.84
17.5,0.31,1.8
17.5,0.47,3.06
17.5,0.42,2.66
17.5,0.47,3.22
17.5,0.53,3.28
17.5,0.44,2.57
18,0.52,3.63
18,0.59,3.7
18,0.6,3.03
18,0.56,3.04
18,0.43,3.07
18,0.59,3.25
18,0.53,3.09
18,0.51,3.28
18,0.6,3.28
18,0.35,2.98
18,0.45,2.29
18,0.39,2.74
18,0.45,2.97
18,0.58,3.6
18,0.55,3.24
18,0.55,3.28
18,0.62,3.36
18,0.69,3.57
18,0.46,2.88
18,0.64,2.79
18,0.62,2.98
18,0.8,3.86
18,0.45,3.3
18,0.51,3.34
18,0.6,3.12
18,0.39,2.83
18,0.53,3.22
18,0.52,3.02
18,0.53,3.24
18,0.39,3.12
18,0.47,2.94
18,0.52,3.37
18.5,0.5,2.82
18.5,0.6,3.19
18.5,0.52,3.11
18.5,0.44,3.49
19,0.58,3.11
19,0.51,3.21
19,0.56,3.1
19,0.47,2.89
19,0.58,3.09
19,0.99,2.28
19,0.69,3.51
19,0.62,2.96
19,0.77,3.56
19,0.58,3.27
19,0.35,2.72
19,0.79,3.51
19,0.58,3.11
19,0.63,3.13
19,0.35,2.93
19,0.55,3.07
19,0.55,2.97
19,0.62,3.52
19,0.64,3.83
19,0.48,2.76
19,0.45,2.64
19,0.32,2.38
19,0.52,2.39
19,0.72,3.29
19,0.25,2.57
19,0.4,3.02
19,0.8,3.44
19,0.53,2.94
