SpT,W1-W2,J-W2
5,0.21,1.31
5,0.49,1.96
5,0.28,1.19
5,0.25,1.34
5.1,0.24,1.37
5.5,0.19,1.3
5.5,0.21,1.37
5.5,0.22,1.37
5.5,0.21,1.14
5.5,0.27,1.37
5.5,0.62,1.79
5.5,0.29,1.24
5.5,0.28,1.47
5.6,0.19,1.28
5.7,0.25,1.41
5.7,0.23,1.29
5.7,0.22,1.42
5.8,0.21,1.28
5.9,0.22,1.5
5.9,0.15,1.18
5.9,0.24,1.38
6,0.22,1.31
6,0.21,1.38
6,0.2,1.64
6,0.2,1.11
6,0.24,1.32
6,0.42,1.59
6,0.25,1.37
6,0.21,1.38
6,0.33,2.16
6,0.13,1.96
6,0.33,2.05
6,0.25,1.26
6,0.24,1.25
6,0.43,2.54
6,0.21,1.35
6,0.2,1.33
6,0.19,1.44
6,0.19,1.41
6,0.21,1.36
6,0.38,1.63
6,0.25,1.33
6,0.27,1.36
6,0.24,1.27
6,0.23,1.3
6,0.13,1.05
6,0.24,1.51
6,0.21,1.34
6,0.1,1.37
6,0.26,1.73
6,0.24,1.51
6,0.19,1.35
6,0.25,1.25
6,0.23,1.38
6,0.2,1.39
6,0.18,1.4
6,0.2,1.36
6,0.24,1.28
6,0.25,1.45
6,0.6,2.22
6,0.22,1.37
6,0.22,1.3
6.1,0.24,1.35
6.1,0.23,1.41
6.1,0.23,1.49
6.2,0.21,1.37
6.2,0.27,1.4
6.2,0.27,1.79
6.3,0.24,1.31
6.3,0.24,1.39
6.3,0.25,1.41
6.5,0.22,1.29
6.5,0.27,1.26
6.5,0.25,1.15
6.5,0.29,1.1
6.5,0.16,1.41
6.5,0.29,1.33
6.5,0.2,1.59
6.5,0.34,2.21
6.5,0.22,1.39
6.5,0.2,1.42
6.5,0.24,1.47
6.5,0.23,1.39
6.5,0.23,1.32
6.5,0.16,1.45
6.5,0.24,1.51
6.5,0.21,1.43
6.5,0.17,1.29
6.5,0.22,1.42
6.5,0.16,1.36
6.5,0.22,1.44
6.5,0.18,1.43
6.5,0.21,1.48
6.5,0.2,1.45
6.5,0.22,1.58
6.5,0.24,1.37
6.5,0.24,1.47
6.5,0.22,1.42
6.5,0.19,1.43
6.5,0.18,1.34
6.5,0.24,1.49
6.5,0.22,1.31
6.5,0.21,1.38
6.5,0.28,1.37
6.8,0.24,1.35
7,0.2,1.48
7,0.22,1.53
7,0.27,1.5
7,0.23,1.47
7,0.18,1.46
7,0.23,1.45
7,0.14,1.12
7,0.26,1.26
7,0.21,1.35
7,0.31,1.4
7,0.3,1.24
7,0.24,1.56
7,0.24,1.55
7,0.22,1.55
7,0.23,1.46
7,0.64,2.28
7,0.21,1.15
7,0.26,1.3
7,0.2,1.48
7,0.16,1.42
7,0.23,1.6
7,0.24,1.61
7,0.18,1.46
7,0.24,1.52
7,0.18,1.53
7,0.27,1.36
7,0.2,1.42
7,0.21,1.51
7,0.23,1.56
7,0.2,1.43
7,0.18,1.39
7,0.21,1.5
7,0.21,1.54
7,0.2,1.44
7,0.17,1.45
7,0.24,1.7
7,0.22,1.49
7,0.23,1.19
7,0.22,1.43
7,0.22,1.45
7,0.27,1.71
7,0.18,1.43
7,0.22,1.36
7,0.21,1.56
7,0.21,1.4
7,0.19,1.47
7,0.21,1.48
7,0.24,1.56
7,0.22,1.6
7,0.24,1.64
7,0.19,1.49
7,0.17,1.45
7,0.24,1.13
7,0.21,1.43
7,0.25,1.41
7,0.19,1.45
7,0.21,1.46
7,0.21,1.44
7,0.24,1.58
7,0.17,1.5
7,0.52,2.39
7,0.43,1.73
7,0.24,1.63
7,0.23,1.38
7,0.15,1.42
7,0.23,1.15
7,0.23,1.53
7,0.24,1.51
7,0.21,1.45
7,0.21,1.43
7,0.24,2.75
7,0.23,1.42
7,0.22,1.48
7,0.33,1.64
7,0.29,1.27
7,0.31,1.69
7.1,0.23,1.33
7.2,0.38,2.26
7.3,0.25,1.43
7.5,0.19,1.55
7.5,0.24,1.49
7.5,0.18,1.48
7.5,0.24,1.59
7.5,0.23,1.59
7.5,0.2,1.5
7.5,0.23,1.61
7.5,0.2,1.51
7.5,0.25,1.51
7.5,0.21,1.5
7.5,0.23,1.53
7.5,0.21,1.52
7.5,0.19,1.48
7.5,0.19,1.55
7.5,0.21,1.53
7.5,0.22,1.68
7.5,0.16,1.53
7.5,0.25,1.59
7.5,0.17,1.99
7.5,0.17,1.7
7.5,0.33,1.71
7.5,0.2,1.47
7.5,0.26,1.6
7.5,0.23,1.45
7.5,0.23,1.57
7.5,0.25,1.59
7.5,0.22,1.49
7.5,0.2,1.43
7.5,0.19,1.04
7.5,0.19,1.44
7.5,0.19,1.43
7.5,0.26,1.61
7.5,0.23,1.53
7.5,0.2,1.51
7.5,0.25,1.71
7.5,0.22,1.64
7.5,0.21,1.41
7.5,0.18,1.57
7.5,0.24,1.5
7.5,0.22,1.58
7.5,0.24,1.19
7.5,0.19,1.43
7.5,0.27,1.43
7.5,0.5,2.53
7.5,0.24,1.6
7.5,0.24,1.55
7.5,0.26,1.56
7.5,0.29,1.44
7.5,0.23,1.61
7.5,0.21,1.59
7.5,0.21,1.12
7.5,0.22,1.48
7.5,0.23,1.63
7.5,0.33,1.43
7.5,0.2,1.54
7.5,0.25,1.42
7.5,0.26,1.55
7.5,0.22,1.47
7.6,0.22,1.56
7.8,0.24,1.59
8,0.31,1.66
8,0.26,1.58
8,0.2,1.56
8,0.24,1.54
8,0.27,1.6
8,0.29,1.72
8,0.23,1.51
