M_G,G-RP,BP-RP
6.011,0.638,1.116
6.012,0.671,1.197
6.062,0.657,1.157
6.076,0.804,1.49
6.088,0.941,1.821
6.088,0.912,1.729
6.101,0.933,1.779
6.11,0.796,1.292
6.12,1.021,1.704
6.123,0.91,1.745
6.137,0.627,1.09
6.148,0.747,1.293
6.154,1.023,1.742
6.165,0.801,1.471
6.167,1.053,2.154
6.202,1.064,1.677
6.205,0.766,1.406
6.245,0.94,1.809
6.262,0.974,1.869
6.263,1.022,1.877
6.264,0.688,1.229
6.304,0.674,1.192
6.305,1.056,2.183
6.312,0.927,1.808
6.314,0.809,1.273
6.325,0.914,1.732
6.338,1.305,1.784
6.342,1.228,2.002
6.355,0.705,1.267
6.364,0.955,1.515
6.371,0.652,1.139
6.375,0.757,1.367
6.383,1.064,2.182
6.4,0.9,1.725
6.401,0.991,1.96
6.41,1.059,2.162
6.419,1.009,2.029
6.42,0.736,1.341
6.428,0.977,1.945
6.433,0.69,1.227
6.449,0.96,1.892
6.479,0.724,1.275
6.49,0.733,1.33
6.495,0.833,1.548
6.509,0.715,1.285
6.514,0.902,1.733
6.522,1.021,2.048
6.526,0.932,1.745
6.526,0.852,1.582
6.527,0.989,1.919
6.528,1.207,2.744
6.533,0.838,1.554
6.543,0.726,1.312
6.544,1.004,2.017
6.557,1.009,1.705
6.589,0.721,1.298
6.599,0.914,1.766
6.603,0.955,1.869
6.609,0.829,1.553
6.62,0.738,1.324
6.633,0.953,1.862
6.654,0.738,1.344
6.659,0.954,1.882
6.662,0.805,1.429
6.667,1.02,1.995
6.675,0.751,1.373
6.685,0.753,1.371
6.686,0.856,1.613
6.691,0.767,1.411
6.691,0.87,1.644
6.694,0.742,1.351
6.717,0.981,1.937
6.726,0.762,1.397
6.727,0.959,1.889
6.749,0.957,1.878
6.749,0.752,1.375
6.755,0.956,1.734
6.759,0.9,1.706
6.762,0.726,1.31
6.762,0.772,1.409
6.767,0.835,1.549
6.79,0.767,1.415
6.801,0.751,1.365
6.804,0.951,1.719
6.807,0.977,1.936
6.81,0.991,1.877
6.81,1.173,1.965
6.819,1.06,2.19
6.821,0.948,1.856
6.826,1.185,1.72
6.842,1.047,1.758
6.843,0.97,1.923
6.844,1.017,2.023
6.851,1.146,2.47
6.861,0.847,1.588
6.862,1.041,1.495
6.866,0.801,1.497
6.87,0.978,1.941
6.874,0.878,1.679
6.878,1.014,2.056
6.89,0.916,1.764
6.893,1.013,1.949
6.905,0.967,1.906
6.914,1.011,2.027
6.933,1.054,2.137
6.935,0.813,1.521
6.935,0.805,1.504
6.946,0.908,1.737
6.946,0.807,1.508
6.949,0.917,1.763
6.951,0.928,1.79
6.952,0.832,1.539
6.955,0.993,1.95
6.956,1.006,1.779
6.961,1.119,2.353
6.964,0.824,1.551
6.969,0.898,1.72
6.973,0.801,1.491
6.974,0.775,1.428
6.975,0.787,1.456
6.977,0.952,1.863
6.981,0.895,1.718
6.983,0.932,1.821
6.988,0.879,1.663
6.998,0.919,1.8
6.998,0.957,1.846
6.999,0.821,1.547
7.001,0.792,1.47
7.002,1.22,2.282
7.006,0.828,1.557
7.014,0.785,1.448
7.021,0.933,1.811
7.025,0.886,1.696
7.027,0.944,1.855
7.03,0.995,1.986
7.033,1.014,2.053
7.043,1.038,2.143
7.044,0.824,1.54
7.045,0.787,1.456
7.05,0.899,1.738
7.051,0.822,1.546
7.052,0.842,1.583
7.053,0.986,1.953
7.054,0.766,1.401
7.061,0.933,1.811
7.062,0.952,1.843
7.079,0.921,1.765
7.081,0.927,1.818
7.083,0.886,1.66
7.09,0.905,1.75
7.094,1.335,1.502
7.096,1.01,1.811
7.096,0.928,1.802
7.097,0.818,1.534
7.104,0.992,1.982
7.109,0.836,1.557
7.11,1.007,1.999
7.112,0.91,1.758
7.115,1.045,2.095
7.119,2.077,1.824
7.122,0.78,1.443
7.132,0.781,1.44
7.135,0.884,1.667
7.137,0.839,1.579
7.142,0.812,1.522
7.143,0.859,1.628
7.143,0.951,1.864
7.143,1.034,1.999
7.144,0.915,1.755
7.144,0.916,1.783
7.146,0.832,1.57
7.146,0.945,1.814
7.146,0.947,1.856
7.146,0.926,1.808
7.15,1.052,1.973
7.154,0.943,1.823
7.158,0.936,1.837
7.158,0.847,1.608
7.16,0.843,1.594
7.165,0.828,1.562
7.168,0.803,1.489
7.168,0.935,1.836
7.17,0.781,1.436
7.176,1.247,2.905
7.177,0.831,1.564
7.18,1.058,2.198
7.181,0.848,1.609
7.186,0.806,1.504
7.188,0.805,1.506
7.195,0.82,1.52
7.195,0.834,1.581
7.195,1.055,2.185
7.195,0.956,1.882
7.196,0.947,1.857
7.199,0.915,1.787
7.201,0.925,1.797
7.203,0.922,1.784
7.213,0.821,1.542
7.213,0.98,1.951
7.216,1.166,2.29
7.217,1.008,1.965
7.222,1.5,1.542
7.223,0.861,1.638
7.224,0.838,1.58
7.225,0.786,1.449
7.226,0.955,1.869
7.228,0.974,1.924
7.237,0.839,1.587
7.238,0.987,1.921
7.239,0.998,1.903
7.241,0.792,1.464
7.243,1.025,2.073
7.244,0.931,1.392
7.244,0.834,1.573
7.248,0.822,1.546
7.249,0.845,1.601
7.251,0.962,1.907
7.255,1.459,1.788
7.255,0.852,1.619
7.255,0.97,1.933
7.258,0.807,1.507
7.261,0.94,1.836
7.261,0.836,1.583
7.266,0.957,1.896
7.267,0.908,1.749
7.269,0.915,1.769
7.269,0.806,1.497
7.271,0.96,1.891
7.274,0.853,1.624
7.277,0.979,1.94
7.28,0.834,1.57
7.285,0.905,1.744
7.285,0.87,1.661
7.292,0.933,1.832
7.298,1.068,2.219
7.304,0.908,1.754
7.308,0.949,1.874
7.312,0.822,1.544
7.316,0.878,1.691
7.317,0.958,1.894
7.32,0.947,1.868
7.321,1.037,2.116
7.322,1.022,2.067
7.324,0.825,1.558
7.329,1.044,2.131
7.329,1.274,1.699
7.331,0.93,1.816
7.331,0.914,1.775
