M_G,G-RP
9.071,1.454
9.105,1.087
9.127,1.342
9.141,1.356
9.142,1.356
9.177,1.274
9.196,1.113
9.21,1.363
9.225,1.308
9.241,1.299
9.246,1.253
9.26,1.382
9.27,1.334
9.299,1.264
9.3,1.247
9.338,1.416
9.354,1.321
9.359,1.375
9.417,1.344
9.455,1.115
9.465,1.322
9.475,1.265
9.479,1.379
9.479,1.537
9.488,1.366
9.549,1.356
9.561,1.325
9.573,1.139
9.598,1.103
9.598,1.358
9.603,1.434
9.605,1.373
9.611,1.137
9.611,1.4
9.615,1.342
9.625,1.317
9.632,1.336
9.661,1.142
9.678,1.19
9.706,1.334
9.724,1.292
9.737,1.093
9.778,1.352
9.787,1.37
9.797,1.104
9.799,1.281
9.839,1.324
9.842,1.369
9.844,1.263
9.853,1.778
9.854,1.247
9.864,1.16
9.879,1.341
9.902,1.219
9.915,1.225
9.921,1.308
9.934,1.356
9.937,1.375
9.956,1.338
9.958,1.382
9.975,1.184
9.986,1.383
9.992,1.367
10.009,1.358
10.017,1.353
10.021,1.162
10.024,1.338
10.024,1.35
10.026,1.45
10.035,1.395
10.04,1.353
10.047,1.336
10.048,1.391
10.062,1.267
10.121,1.195
10.136,1.301
10.148,1.368
10.151,1.407
10.152,1.391
10.161,1.773
10.183,1.169
10.185,1.47
10.204,1.405
10.205,1.384
10.237,1.197
10.241,1.275
10.251,1.311
10.253,1.266
10.275,1.251
10.275,1.399
10.29,1.239
10.292,1.161
10.295,1.364
10.305,1.309
10.32,1.133
10.332,1.366
10.335,1.436
10.358,1.27
10.363,1.28
10.367,1.364
10.378,1.388
10.38,1.357
10.39,1.218
10.39,1.434
10.393,1.596
10.398,1.367
10.401,1.338
10.405,1.316
10.405,1.398
10.409,1.224
10.411,1.394
10.423,1.266
10.425,1.18
10.429,1.305
10.432,1.369
10.444,1.257
10.445,1.372
10.468,1.346
10.474,1.404
10.482,1.472
10.486,1.277
10.486,1.436
10.487,1.178
10.492,1.234
10.498,1.329
10.514,1.514
10.517,1.364
10.527,1.404
10.543,1.228
10.543,1.28
10.551,1.223
10.552,1.223
10.56,1.446
10.562,1.236
10.563,1.245
10.569,1.286
10.592,1.402
10.593,1.715
10.606,1.399
10.613,1.388
10.621,1.325
10.638,1.227
10.642,1.211
10.646,1.389
10.652,1.35
10.675,1.853
10.678,1.226
10.678,1.352
10.681,1.26
10.685,1.256
10.687,1.38
10.691,1.698
10.693,1.237
10.706,1.234
10.708,1.24
10.715,1.262
10.715,1.394
10.715,1.457
10.716,1.307
10.717,1.229
10.726,1.284
10.729,1.441
10.731,1.261
10.738,1.179
10.751,1.354
10.753,1.205
10.762,1.303
10.765,1.247
10.768,1.256
10.781,1.288
10.782,1.237
10.784,1.215
10.788,1.248
10.79,1.443
10.792,1.252
10.81,1.25
10.814,1.31
10.822,1.383
10.833,1.508
10.845,1.285
10.851,1.374
10.853,1.421
10.865,1.165
10.866,1.244
10.866,1.286
10.886,1.23
10.903,1.263
10.918,1.442
10.922,1.229
10.923,1.451
10.932,1.422
10.952,1.446
10.962,1.243
10.97,1.214
10.981,1.312
10.984,1.171
10.984,1.396
10.989,1.195
10.989,1.351
10.99,1.252
10.99,1.909
10.995,1.23
11.003,1.252
11.005,1.24
11.009,1.239
11.015,1.418
11.025,1.187
11.025,1.449
11.029,1.29
11.03,1.258
11.031,1.387
11.04,1.89
11.04,1.917
11.043,1.388
11.053,1.384
11.054,1.252
11.058,1.367
11.074,1.456
11.077,1.37
11.084,1.243
