# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2019.3.22
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia DR2 G/Bp/Rp, Sloan izY, 2MASS JHKs,
# and WISE W1/W2/W3/W4 photometry. G-V color is Gaia DR2 G - Johnson V.
#
#SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4   M_J    M_Ks  i-z  z-Y  R_Rsun Msun  #SpT 
O3V    46000 4.663  5.80 -9.75 -4.05  -5.7  -0.32   ...    ...    ...    ...    ...    ..... -1.22   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  12.5   ....  O3V  
O4V    43000 4.633  5.67 -9.42 -3.92  -5.5  -0.32   ...    ...    ...    ...    ...    ..... -1.20   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  12.3   ....  O4V  
O5V    41500 4.618  5.58 -9.20 -3.77  -5.4  -0.32   ...    ...    ...    ...    ...   -0.133 -1.19   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  11.9   ....  O5V  
O5.5V  40000 4.602  5.46 -8.90 -3.65  -5.2  -0.32   ...    ...    ...    ...    ...   -0.133 -1.18   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  11.2   ....  O5.5V
O6V    39000 4.591  5.37 -8.67 -3.57  -5.1  -0.32   ...    ...    ...    ...    ...   -0.132 -1.17   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  10.6   ....  O6V  
O6.5V  37300 4.573  5.24 -8.35 -3.45  -4.9  -0.32   ...    ...    ...    ...    ...   -0.131 -1.16   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  10.0   ....  O6.5V
O7V    36500 4.562  5.17 -8.18 -3.38  -4.8  -0.32   ...    ...    ...    ...    ...   -0.130 -1.15   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  9.62   28    O7V  
O7.5V  35000 4.544  5.05 -7.87 -3.27  -4.6  -0.32   ...    ...    ...    ...    ...   -0.130 -1.14   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  9.11   24    O7.5V
O8V    34500 4.538  4.99 -7.72 -3.22  -4.5  -0.32   ...    ...    ...    ...    ...   -0.129 -1.13   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  8.75   22.9  O8V  
O8.5V  33000 4.519  4.87 -7.43 -3.13  -4.3  -0.32   ...    ...    ...    ...    ...   -0.128 -1.12   ...    .....  .....  .....  .....   ...     ...    ...    ...     ....   ....  ...  ...  8.33   20.5  O8.5V
O9V    32500 4.512  4.82 -7.29 -3.09  -4.2  -0.318  ...    ...    ...    ...    ...   -0.127 -1.114  ...   -0.369 -1.000 -0.164 -0.071   ...     ...    ...    ...    -3.44  -3.20  ...  ...  8.11   19.7  O9V  
O9.5V  32000 4.505  4.76 -7.15 -3.06  -4.1  -0.312  ...    ...    ...    ...    ...   -0.125 -1.087  ...   -0.361 -0.977 -0.161 -0.069   ...     ...    ...    ...    -3.35  -3.12  ...  ...  7.80   18.5  O9.5V
B0V    31500 4.498  4.70 -7.02 -3.02  -4.0  -0.307  ...    ...    ...    ...    ...   -0.122 -1.067  ...   -0.355 -0.958 -0.159 -0.067   ...     ...    ...    ...    -3.27  -3.04  ...  ...  7.53   17.5  B0V  
B0.5V  29000 4.462  4.47 -6.43 -2.87  -3.6  -0.295  ...    ...    ...    ...    ...   -0.120 -1.026  ...   -0.338 -0.913 -0.153 -0.063   ...     ...    ...    ...    -2.90  -2.69  ...  ...  6.81   15    B0.5V
B1V    26000 4.415  4.13 -5.68 -2.61  -3.1  -0.278  ...    ...    ...    ...    ...   -0.113 -0.995 -0.115 -0.325 -0.874 -0.148 -0.059   ...     ...    ...    ...    -2.43  -2.23  ...  ...  5.72   11    B1V  
